"ins","type_entity","entity","period","value"
"53000","Arrondissement","Mons","01/01/2019","440.1"
"53014","Commune","Boussu","01/01/2019","985.3"
"53020","Commune","Dour","01/01/2019","495.0"
"53028","Commune","Frameries","01/01/2019","840.1"
"53039","Commune","Hensies","01/01/2019","258.6"
"53044","Commune","Jurbise","01/01/2019","178.4"
"53046","Commune","Lens","01/01/2019","90.8"
"53053","Commune","Mons","01/01/2019","648.0"
"53065","Commune","Quaregnon","01/01/2019","1698.9"
"53068","Commune","Quiévrain","01/01/2019","317.6"
"53070","Commune","Saint-Ghislain","01/01/2019","330.3"
"53082","Commune","Colfontaine","01/01/2019","1514.1"
"53083","Commune","Honnelles","01/01/2019","116.4"
"53084","Commune","Quévy","01/01/2019","124.4"
"55000","Arrondissement","Soignies","01/01/2019","292.3"
"55000","Arrondissement","Soignies","01/01/2019","292.3"
"55004","Commune","Braine-Le-Comte","01/01/2019","258.1"
"55035","Commune","Le Rœulx","01/01/2019","200.8"
"55040","Commune","Soignies","01/01/2019","251.8"
"55050","Commune","Écaussinnes","01/01/2019","320.1"
"55085","Commune","Seneffe","01/01/2019","179.2"
"55086","Commune","Manage","01/01/2019","1201.6"
"56000","Arrondissement","Thuin","01/01/2019","116.8"
"56001","Commune","Anderlues","01/01/2019","713.6"
"56005","Commune","Beaumont","01/01/2019","76.2"
"56016","Commune","Chimay","01/01/2019","49.4"
"56022","Commune","Erquelinnes","01/01/2019","224.5"
"56029","Commune","Froidchapelle","01/01/2019","45.7"
"56044","Commune","Lobbes","01/01/2019","181.1"
"56049","Commune","Merbes-le-Château","01/01/2019","139.7"
"56051","Commune","Momignies","01/01/2019","61.7"
"56078","Commune","Thuin","01/01/2019","191.7"
"56086","Commune","Ham-sur-Heure-Nalinnes","01/01/2019","298.1"
"56088","Commune","Sivry-Rance","01/01/2019","65.2"
"57000","Arrondissement","Tournai-Mouscron","01/01/2019","312.6"
"57000","Arrondissement","Tournai-Mouscron","01/01/2019","312.6"
"57003","Commune","Antoing","01/01/2019","245.1"
"57018","Commune","Celles","01/01/2019","84.0"
"57027","Commune","Estaimpuis","01/01/2019","326.4"
"57062","Commune","Pecq","01/01/2019","171.9"
"57064","Commune","Péruwelz","01/01/2019","281.2"
"57072","Commune","Rumes","01/01/2019","215.4"
"57081","Commune","Tournai","01/01/2019","322.1"
"57093","Commune","Brunehaut","01/01/2019","173.5"
"57094","Commune","Leuze-en-Hainaut","01/01/2019","186.0"
"57095","Commune","Mont-de-l'Enclus","01/01/2019","138.6"
"57096","Commune","Mouscron","01/01/2019","1439.6"
"57097","Commune","Comines-Warneton","01/01/2019","293.7"
"58000","Arrondissement","La Louvière","01/01/2019","642.8"
"58000","Arrondissement","La Louvière","01/01/2019","642.8"
"58001","Commune","La Louvière","01/01/2019","1250.9"
"58002","Commune","Binche","01/01/2019","546.6"
"58003","Commune","Estinnes","01/01/2019","105.9"
"58004","Commune","Morlanwelz","01/01/2019","935.7"
"60000","Province","Liège","01/01/2019","287.0"
"61000","Arrondissement","Huy","01/01/2019","171.5"
"61003","Commune","Amay","01/01/2019","520.6"
"61010","Commune","Burdinne","01/01/2019","99.3"
"61012","Commune","Clavier","01/01/2019","58.3"
"61019","Commune","Ferrières","01/01/2019","86.5"
"61024","Commune","Hamoir","01/01/2019","139.9"
"61028","Commune","Héron","01/01/2019","140.0"
"61031","Commune","Huy","01/01/2019","445.6"
"61039","Commune","Marchin","01/01/2019","181.4"
"61041","Commune","Modave","01/01/2019","104.2"
"61043","Commune","Nandrin","01/01/2019","159.3"
"61048","Commune","Ouffet","01/01/2019","69.0"
"61063","Commune","Verlaine","01/01/2019","173.3"
"61068","Commune","Villers-le-Bouillet","01/01/2019","197.7"
"61072","Commune","Wanze","01/01/2019","311.9"
"61079","Commune","Anthisnes","01/01/2019","112.3"
"61080","Commune","Engis","01/01/2019","221.2"
"61081","Commune","Tinlot","01/01/2019","72.6"
"62000","Arrondissement","Liège","01/01/2019","784.5"
"62003","Commune","Ans","01/01/2019","1215.3"
"62006","Commune","Awans","01/01/2019","342.4"
"62009","Commune","Aywaille","01/01/2019","155.6"
"62011","Commune","Bassenge","01/01/2019","233.0"
"62015","Commune","Beyne-Heusay","01/01/2019","1636.8"
"62022","Commune","Chaudfontaine","01/01/2019","817.8"
"62026","Commune","Comblain-au-Pont","01/01/2019","239.3"
"62027","Commune","Dalhem","01/01/2019","205.1"
"62032","Commune","Esneux","01/01/2019","378.1"
"62038","Commune","Fléron","01/01/2019","1207.4"
"62051","Commune","Herstal","01/01/2019","1708.4"
"62060","Commune","Juprelle","01/01/2019","262.0"
"62063","Commune","Liège","01/01/2019","2877.7"
"62079","Commune","Oupeye","01/01/2019","701.1"
"62093","Commune","Saint-Nicolas","01/01/2019","3518.6"
"62096","Commune","Seraing","01/01/2019","1822.4"
"62099","Commune","Soumagne","01/01/2019","622.4"
"62100","Commune","Sprimont","01/01/2019","197.4"
"62108","Commune","Visé","01/01/2019","647.3"
"62118","Commune","Grâce-Hollogne","01/01/2019","663.3"
"62119","Commune","Blegny","01/01/2019","509.8"
"62120","Commune","Flémalle","01/01/2019","719.0"
"62121","Commune","Neupré","01/01/2019","312.5"
"62122","Commune","Trooz","01/01/2019","337.9"
"63000","Arrondissement","Verviers","01/01/2019","143.2"
"63001","Commune","Amblève","01/01/2019","43.5"
"63003","Commune","Aubel","01/01/2019","227.7"
"63004","Commune","Baelen","01/01/2019","52.1"
"63012","Commune","Bullange","01/01/2019","36.4"
"63013","Commune","Butgenbach","01/01/2019","57.8"
"63020","Commune","Dison","01/01/2019","1090.9"
"63023","Commune","Eupen","01/01/2019","205.0"
"63035","Commune","Herve","01/01/2019","309.7"
"63038","Commune","Jalhay","01/01/2019","80.3"
"63040","Commune","La Calamine","01/01/2019","616.9"
"63045","Commune","Lierneux","01/01/2019","39.2"
"63046","Commune","Limbourg","01/01/2019","239.9"
"63048","Commune","Lontzen","01/01/2019","200.7"
"63049","Commune","Malmedy","01/01/2019","126.9"
"63057","Commune","Olne","01/01/2019","254.6"
"63058","Commune","Pepinster","01/01/2019","392.7"
"63061","Commune","Raeren","01/01/2019","147.8"
"63067","Commune","Saint-Vith","01/01/2019","66.1"
"63072","Commune","Spa","01/01/2019","256.8"
"63073","Commune","Stavelot","01/01/2019","84.2"
"63075","Commune","Stoumont","01/01/2019","29.2"
"63076","Commune","Theux","01/01/2019","144.1"
"63079","Commune","Verviers","01/01/2019","1672.9"
"63080","Commune","Waimes","01/01/2019","76.1"
"63084","Commune","Welkenraedt","01/01/2019","403.0"
"63086","Commune","Trois-Ponts","01/01/2019","37.1"
"63087","Commune","Burg-Reuland","01/01/2019","35.8"
"63088","Commune","Plombières","01/01/2019","196.6"
"63089","Commune","Thimister-Clermont","01/01/2019","199.0"
"64000","Arrondissement","Waremme","01/01/2019","208.5"
"64008","Commune","Berloz","01/01/2019","215.9"
"64015","Commune","Braives","01/01/2019","144.8"
"64021","Commune","Crisnée","01/01/2019","201.0"
"64023","Commune","Donceel","01/01/2019","130.5"
"64025","Commune","Fexhe-le-Haut-Clocher","01/01/2019","166.3"
"64029","Commune","Geer","01/01/2019","147.6"
"64034","Commune","Hannut","01/01/2019","191.6"
"64047","Commune","Lincent","01/01/2019","224.7"
"64056","Commune","Oreye","01/01/2019","199.8"
"64063","Commune","Remicourt","01/01/2019","258.7"
"64065","Commune","Saint-Georges-sur-Meuse","01/01/2019","325.3"
"64074","Commune","Waremme","01/01/2019","496.3"
"64075","Commune","Wasseiges","01/01/2019","120.0"
"64076","Commune","Faimes","01/01/2019","137.9"
"80000","Province","Luxembourg","01/01/2019","63.8"
"81000","Arrondissement","Arlon","01/01/2019","196.4"
"81001","Commune","Arlon","01/01/2019","250.8"
"81003","Commune","Attert","01/01/2019","78.5"
"81004","Commune","Aubange","01/01/2019","370.6"
"81013","Commune","Martelange","01/01/2019","62.5"
"81015","Commune","Messancy","01/01/2019","156.2"
"82000","Arrondissement","Bastogne","01/01/2019","46.3"
"82003","Commune","Bastogne","01/01/2019","92.4"
"82005","Commune","Bertogne","01/01/2019","39.9"
"82009","Commune","Fauvillers","01/01/2019","30.5"
"82014","Commune","Houffalize","01/01/2019","31.0"
"82032","Commune","Vielsalm","01/01/2019","55.5"
"82036","Commune","Vaux-sur-Sûre","01/01/2019","41.6"
"82037","Commune","Gouvy","01/01/2019","32.0"
"82038","Commune","Sainte-Ode","01/01/2019","26.1"
"83000","Arrondissement","Marche-en-Famenne","01/01/2019","58.9"
"83012","Commune","Durbuy","01/01/2019","72.5"
"83013","Commune","Érezée","01/01/2019","41.6"
"83028","Commune","Hotton","01/01/2019","97.4"
"83031","Commune","La Roche-en-Ardenne","01/01/2019","28.6"
"83034","Commune","Marche-en-Famenne","01/01/2019","143.1"
"83040","Commune","Nassogne","01/01/2019","48.6"
"83044","Commune","Rendeux","01/01/2019","38.1"
"83049","Commune","Tenneville","01/01/2019","30.8"
"83055","Commune","Manhay","01/01/2019","29.6"
"84000","Arrondissement","Neufchâteau","01/01/2019","46.7"
"84009","Commune","Bertrix","01/01/2019","63.5"
"84010","Commune","Bouillon","01/01/2019","36.4"
"84016","Commune","Daverdisse","01/01/2019","24.5"
"84029","Commune","Herbeumont","01/01/2019","27.8"
"84033","Commune","Léglise","01/01/2019","31.5"
"84035","Commune","Libin","01/01/2019","37.2"
"84043","Commune","Neufchâteau","01/01/2019","67.3"
"84050","Commune","Paliseul","01/01/2019","48.4"
"84059","Commune","Saint-Hubert","01/01/2019","49.7"
"84068","Commune","Tellin","01/01/2019","42.7"
"84075","Commune","Wellin","01/01/2019","45.5"
"84077","Commune","Libramont-Chevigny","01/01/2019","62.9"
"85000","Arrondissement","Virton","01/01/2019","69.2"
"85007","Commune","Chiny","01/01/2019","45.4"
"85009","Commune","Étalle","01/01/2019","74.0"
"85011","Commune","Florenville","01/01/2019","37.7"
"85024","Commune","Meix-devant-Virton","01/01/2019","51.1"
"85026","Commune","Musson","01/01/2019","128.7"
"85034","Commune","Saint-Léger","01/01/2019","99.5"
"85039","Commune","Tintigny","01/01/2019","52.5"
"85045","Commune","Virton","01/01/2019","118.5"
"85046","Commune","Habay","01/01/2019","81.2"
"85047","Commune","Rouvroy","01/01/2019","75.0"
"90000","Province","Namur","01/01/2019","134.5"
"91000","Arrondissement","Dinant","01/01/2019","69.5"
"91005","Commune","Anhée","01/01/2019","106.7"
"91013","Commune","Beauraing","01/01/2019","52.4"
"91015","Commune","Bièvre","01/01/2019","30.6"
"91030","Commune","Ciney","01/01/2019","112.1"
"91034","Commune","Dinant","01/01/2019","134.4"
"91054","Commune","Gedinne","01/01/2019","30.6"
"91059","Commune","Hamois","01/01/2019","96.1"
"91064","Commune","Havelange","01/01/2019","49.4"
"91072","Commune","Houyet","01/01/2019","40.3"
"91103","Commune","Onhaye","01/01/2019","49.4"
"91114","Commune","Rochefort","01/01/2019","75.8"
"91120","Commune","Somme-Leuze","01/01/2019","59.2"
"91141","Commune","Yvoir","01/01/2019","160.6"
"91142","Commune","Hastière","01/01/2019","106.4"
"91143","Commune","Vresse-sur-Semois","01/01/2019","25.8"
"92000","Arrondissement","Namur","01/01/2019","271.4"
"92003","Commune","Andenne","01/01/2019","318.0"
"92006","Commune","Assesse","01/01/2019","89.5"
"92035","Commune","Éghezée","01/01/2019","158.3"
"92045","Commune","Floreffe","01/01/2019","208.2"
"92048","Commune","Fosses-la-Ville","01/01/2019","164.1"
"92054","Commune","Gesves","01/01/2019","110.8"
"92087","Commune","Mettet","01/01/2019","112.0"
"92094","Commune","Namur","01/01/2019","629.8"
"92097","Commune","Ohey","01/01/2019","90.5"
"92101","Commune","Profondeville","01/01/2019","242.5"
"92114","Commune","Sombreffe","01/01/2019","235.1"
"92137","Commune","Sambreville","01/01/2019","825.7"
"92138","Commune","Fernelmont","01/01/2019","122.0"
"92140","Commune","Jemeppe-sur-Sambre","01/01/2019","408.5"
"92141","Commune","La Bruyère","01/01/2019","174.9"
"92142","Commune","Gembloux","01/01/2019","269.7"
"93000","Arrondissement","Philippeville","01/01/2019","72.9"
"93010","Commune","Cerfontaine","01/01/2019","59.0"
"93014","Commune","Couvin","01/01/2019","66.4"
"93018","Commune","Doische","01/01/2019","35.6"
"93022","Commune","Florennes","01/01/2019","84.3"
"93056","Commune","Philippeville","01/01/2019","59.0"
"93088","Commune","Walcourt","01/01/2019","149.1"
"93090","Commune","Viroinval","01/01/2019","46.7"
